"","biomass","catch"
"1",NA,41.043
"2",511.457,92.201
"3",NA,31.902
"4",491.724,26.488
"5",NA,98.194
"6",472.263,69.618
"7",454.197,71.775
"8",NA,21.56
"9",NA,54.205
"10",NA,3.109
"11",NA,97.551
"12",NA,43.905
"13",468.651,78.25
"14",NA,67.524
"15",NA,9.279
"16",NA,30.333
"17",NA,80.383
"18",457.209,71.219
"19",NA,70.704
"20",NA,72.154
"21",NA,27.694
"22",NA,18.847
"23",442.803,18.087
"24",475.009,1.58
"25",525.086,11.51
"26",NA,46.948
"27",NA,86.907
"28",540.609,58.337
"29",NA,62.079
"30",NA,61.202
"31",519.044,62.466
"32",509.594,56.565
"33",505.803,4.388
"34",NA,71.622
"35",NA,89.178
"36",500.355,33.147
"37",NA,11.021
"38",NA,30.865
"39",NA,35.232
"40",603.379,118.87
"41",538.507,13.641
"42",NA,45.812
"43",586.416,59.361
"44",NA,25.998
"45",NA,45.249
"46",NA,65
"47",NA,51.007
"48",NA,41.398
"49",622.241,30.339
"50",NA,26.992
"51",NA,2.793
"52",NA,61.038
"53",NA,106.431
"54",NA,67.744
"55",NA,71.15
"56",NA,15.544
"57",NA,40.371
"58",NA,104.219
"59",NA,102.917
"60",578.678,75.032
"61",NA,60.177
"62",NA,35.886
"63",568.886,112.604
"64",510.137,101.164
"65",NA,19.04
"66",NA,81.695
"67",NA,80.908
"68",NA,78.405
"69",NA,8.85
"70",445.831,1.145
"71",NA,20.895
"72",NA,89.631
"73",NA,34.745
"74",NA,49.747
"75",NA,75.069
"76",488.284,73.969
"77",466.443,47.447
"78",NA,3.146
"79",518.651,35.157
"80",536.502,39.582
"81",550.315,89.504
"82",514.44,77.82
"83",NA,69.048
"84",NA,19.002
"85",NA,16.721
"86",NA,48.71
"87",545.91,15.738
"88",NA,92.399
"89",NA,10.305
"90",NA,57.9
"91",NA,71.251
"92",NA,102.311
"93",NA,4.577
"94",NA,4.402
"95",NA,58.814
"96",611.88,51.491
"97",NA,28.249
"98",NA,85.627
"99",NA,36.342
"100",NA,NA
